Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.com/ph/t/pegasus-41-road-running-shoes-RZm89S/FD2722-501,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20ec15db-5080-40e3-9b1f-8af886de0f1c/AIR+ZOOM+PEGASUS+41.png",Standard,Nike Pegasus 41,Recycled Materials,"₱7,395","₱5,916",5-13,,2 Colours,White,NK4795-221,4.6,148
https://www.nike.com/ph/t/pegasus-41-road-running-shoes-RZm89S/FD2722-501,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20ec15db-5080-40e3-9b1f-8af886de0f1c/AIR+ZOOM+PEGASUS+41.png",Standard,Nike Pegasus 41,Recycled Materials,"₱7,395","₱5,916",7-14,,5 Colours,White,NK6424-248,4.8,139
https://www.nike.com/ph/t/mercurial-superfly-10-elite-air-max-95-se-high-top-football-boot-cnkFbV/HV9916-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d228fdf9-d63a-4d4d-9f6c-1613e021eec6/ZM+SUPERFLY+10+ELT+AM+95+SE+FG.png,Standard,Nike Mercurial Superfly 10 Elite x Air Max 95 SE,Nike Mercurial Superfly 10 Elite x Air Max 95 SE,"₱17,595","₱12,317",5-11,15% off,4 Colours,Black/White,NK5844-229,4.3,696
https://www.nike.com/ph/t/mercurial-superfly-10-elite-air-max-95-se-high-top-football-boot-cnkFbV/HV9916-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d228fdf9-d63a-4d4d-9f6c-1613e021eec6/ZM+SUPERFLY+10+ELT+AM+95+SE+FG.png,Standard,Nike Mercurial Superfly 10 Elite x Air Max 95 SE,Nike Mercurial Superfly 10 Elite x Air Max 95 SE,"₱17,595","₱12,317",5-12,20% off,2 Colours,Black/White,NK1435-131,3.8,65
https://www.nike.com/ph/t/pegasus-41-road-running-shoes-SKDkNs/FD2723-302,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/19df7ddf-9d56-4481-b846-576be04ea978/W+AIR+ZOOM+PEGASUS+41.png",Standard,Nike Pegasus 41,Recycled Materials,"₱7,395","₱5,916",7-14,,1 Colours,Multi-Color,NK2097-523,4.9,526
https://www.nike.com/ph/t/pegasus-41-road-running-shoes-SKDkNs/FD2723-302,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/19df7ddf-9d56-4481-b846-576be04ea978/W+AIR+ZOOM+PEGASUS+41.png",Standard,Nike Pegasus 41,Recycled Materials,"₱7,395","₱5,916",5-12,,2 Colours,Blue,NK8567-636,4.1,663
https://www.nike.com/ph/t/academy-team-backpack-Fj31bT/DV0761-011,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ba066857-e9d9-49e1-8db9-13670eb120c1/NK+ACDMY+TEAM+BKPK+2.3.png",Standard,Nike Academy Team,Nike Academy Team,"₱2,595","₱2,335.50",5-12,,3 Colours,Red,NK8520-944,4.8,526
https://www.nike.com/ph/t/academy-team-backpack-Fj31bT/DV0761-011,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ba066857-e9d9-49e1-8db9-13670eb120c1/NK+ACDMY+TEAM+BKPK+2.3.png",Standard,Nike Academy Team,Nike Academy Team,"₱2,595","₱2,335.50",5-13,15% off,4 Colours,Blue,NK5907-603,4.3,570
https://www.nike.com/ph/t/air-jordan-11-retro-gamma-shoes-gMjfzz/CT8012-047,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/df365e58-ad9e-4930-a0a5-c1eb2e95f268/AIR+JORDAN+11+RETRO.png",Standard,Air Jordan 11 Retro 'Gamma',Air Jordan 11 Retro 'Gamma',"₱11,895","₱10,705.50",7-14,15% off,3 Colours,White,NK2560-141,4.8,631
https://www.nike.com/ph/t/air-jordan-11-retro-gamma-shoes-gMjfzz/CT8012-047,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/df365e58-ad9e-4930-a0a5-c1eb2e95f268/AIR+JORDAN+11+RETRO.png",Standard,Air Jordan 11 Retro 'Gamma',Air Jordan 11 Retro 'Gamma',"₱11,895","₱10,705.50",7-14,15% off,2 Colours,Black/White,NK7651-821,4.2,437
