Rank,Product_Name,Rating_Score,Review_Count,Original_Price,Discount_Price,Product_URL
1,Nike G.T. Future EP,4.9,756,"₱10,895","₱9,805.50",https://www.nike.com/ph/t/gt-future-ep-basketball-shoes-YOdyilHD/FZ5591-002
2,Nike Zoom Vomero 5 Premium,4.9,736,"₱9,395","₱7,516",https://www.nike.com/ph/t/zoom-vomero-5-shoes-VDYdO8fP/IH1344-300
3,Nike Tiempo Legend 10 Elite,4.9,694,"₱12,295","₱11,066",https://www.nike.com/ph/t/tiempo-legend-10-elite-low-top-football-boot-F47h5D/DV4328-003
4,Ja 3 'Lunar New Year' EP,4.9,652,"₱8,095","₱7,285.50",https://www.nike.com/ph/t/ja-3-lunar-new-year-ep-basketball-shoes-s5LwQ251/IB6509-200
5,Nike Full Force Low,4.9,620,"₱6,295","₱3,777",https://www.nike.com/ph/t/full-force-low-shoes-6d4K53No/FZ4629-100
6,NikeCourt Lite 4,4.9,536,"₱4,095","₱3,685.50",https://www.nike.com/ph/t/nikecourt-lite-4-tennis-shoes-JntN0S/FD6575-109
7,Nike Pegasus 41,4.9,526,"₱7,395","₱5,916",https://www.nike.com/ph/t/pegasus-41-road-running-shoes-SKDkNs/FD2723-302
8,Air Jordan 1 Retro Low 'Chicago',4.9,506,"₱6,095","₱5,485.50",https://www.nike.com/ph/t/air-jordan-1-retro-low-chicago-older-shoes-9JhBwMQJ/HQ6999-600
9,Nike Promina,4.9,480,"₱3,295","₱2,636",https://www.nike.com/ph/t/promina-walking-shoes-CsDWSZ/FV6343-008
10,Nike Shox TL,4.9,458,"₱10,295","₱6,177",https://www.nike.com/ph/t/shox-tl-shoes-with-reflective-design-accents-niXFsJBb/IH4466-095
11,Nike Killshot 2 Leather,4.9,431,"₱5,495","₱3,297",https://www.nike.com/ph/t/killshot-2-leather-shoes-rw6WJW/HM9431-001
12,Air Jordan 4 Retro 'Rare Air',4.9,427,"₱11,395","₱10,256",https://www.nike.com/ph/t/air-jordan-4-retro-rare-air-shoes-jG6CSt/FV5029-003
13,Nike ACG Zoom Gaiadome GORE-TEX SE,4.9,405,"₱12,595","₱11,336",https://www.nike.com/ph/t/acg-zoom-gaiadome-gore-tex-se-shoes-XTGRaGYz/IB2328-200
14,Nike Go FlyEase,4.9,354,"₱7,095","₱3,902",https://www.nike.com/ph/t/go-flyease-easy-on-off-shoes-3svRCL/DR5540-002
15,Nike Air Max Excee,4.9,297,"₱5,495","₱3,297",https://www.nike.com/ph/t/air-max-excee-shoes-HJPu2V0o/FZ5486-103
16,Nike Sportswear Futura 365,4.8,771,"₱1,595",₱877,https://www.nike.com/ph/t/sportswear-futura-365-faux-fur-cross-body-bag-4PT5l5/FZ1326-010
17,Air Jordan 1 Low SE,4.8,664,"₱7,295","₱6,565.50",https://www.nike.com/ph/t/air-jordan-1-low-se-shoes-WluTYInM/IR0842-010
18,Nike Alphafly 3,4.8,646,"₱14,495","₱7,972",https://www.nike.com/ph/t/alphafly-3-road-racing-shoes-C4VXTw/FD8315-101
19,Jordan Franchise,4.8,636,"₱1,895","₱1,705.50",https://www.nike.com/ph/t/jordan-franchise-slides-lXc9nK/HF3263-001
20,Air Jordan 11 Retro 'Gamma',4.8,631,"₱11,895","₱10,705.50",https://www.nike.com/ph/t/air-jordan-11-retro-gamma-shoes-gMjfzz/CT8012-047
